company,region,houses_count,points,satisfaction_level,reliability_level,violations_level,global_id
АКЦИОНЕРНОЕ ОБЩЕСТВО «СТРОЙСЕРВИС»,Центральный ,2,84.17,110.0,94.0,99.96,2387463246
«РУСГОРОД»,Центральный ,1,84.17,110.0,100.0,99.92,2387463247
«ГОРОДСКАЯ СЛУЖБА ЭКСПЛУАТАЦИИ»,Центральный ,1,84.13,110.0,67.0,100.0,2387463248
«ПОЛЕТ-К»,Центральный ,1,84.12,110.0,62.0,100.0,2387463249
«АРСП»,Северо-Западный ,1,84.0,110.0,100.0,99.71,2387463250
«ДОМЕКС»,Юго-Западный ,2,84.0,109.92,50.0,99.88,2387463251
«УПРАВЛЯЮЩАЯ КОМПАНИЯ СИНТЕРРА»,Центральный ,1,84.0,110.0,61.0,99.73,2387463252
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ЦАО»,Центральный ,1,84.0,110.0,50.0,99.78,2387463253
«ТЕХМЕД»,Центральный ,1,84.0,110.0,0.0,100.0,2387463254
«ПРОЕКТСПЕЦМОНОЛИТ»,Центральный ,2,84.0,110.0,50.0,99.75,2387463255
«АВРОРА ПЛЮС»,Центральный ,1,84.0,110.0,50.0,99.74,2387463256
«УЮТДОМСЕРВИС»,Центральный ,1,84.0,110.0,50.0,99.74,2387463257
«ЦЕНТР «ТЕХНОСТРОЙ»,"[Новомосковский , Троицкий ]",2,84.0,110.0,0.0,100.0,2387463258
«ТАМБОВСКАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ КОМПАНИЯ»,Северо-Восточный ,1,83.97,110.0,50.0,99.67,2387463259
«АКВАНТ»,Северный ,1,83.93,110.0,16.0,99.74,2387463260
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ПАТРИКИ»,Центральный ,2,83.92,110.0,50.0,99.56,2387463261
«УПРАВЛЕНИЕ КАПИТАЛЬНОГО РЕМОНТА И СТРОИТЕЛЬСТВА»,"[Западный , Центральный ]",3,83.9,110.0,38.0,99.56,2387463262
«УК ВОСТОК ГРУПП»,Северо-Западный ,4,83.89,109.45,64.0,99.96,2387463263
«ЦЕНТР СЕРВИСНОГО ОБСЛУЖИВАНИЯ ЭНТУЗИАСТ»,Восточный ,1,83.88,109.81,0.0,99.89,2387463264
«СЕВЕРЭКСПОСТРОЙ»,Северный ,9,83.85,110.0,100.0,99.12,2387463265
«ПТО СТРОЙТЯЖМАШКОМПЛЕКТ»,Центральный ,1,83.77,110.0,55.00000000000001,99.14,2387463266
«УК СЕВЕР»,Северный ,1,83.76,110.0,0.0,99.4,2387463267
«ФИРМА «ТЭМПЭРА»,Центральный ,1,83.71,110.0,50.0,99.0,2387463268
УПРАВЛЯЮЩАЯ КОМПАНИЯ «ЭТАЛОН СЕРВИС»,Центральный ,1,83.7,110.0,0.0,99.24,2387463269
«СОКО-МПХ»,Северный ,1,83.63,109.45,17.0,99.53,2387463270
«СТРОЙМЕДИА-М»,Юго-Западный ,1,83.41,110.0,0.0,98.52,2387463271
«ПЕРВАЯ ПРОФЕССИОНАЛЬНАЯ СЕРВИСНАЯ КОМПАНИЯ»,Центральный ,2,83.37,108.0,100.0,99.92,2387463272
«МАСТЕР-РЕМ»,Центральный ,20,83.36,108.72,50.0,99.43,2387463273
«ФОРТАЙД СЕРВИС»,Центральный ,2,83.34,108.0,88.0,99.9,2387463274
ДИРЕКЦИЯ ЭКСПЛУАТАЦИИ ЗДАНИЙ «ОТРАДНОЕ»,Центральный ,3,83.27,108.0,50.0,99.92,2387463275
«КУТУЗОВСКИЙ-ДК»,"[Западный , Центральный ]",9,83.26,108.0,50.0,99.9,2387463276
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «КОМФОРТ СЕРВИС»,"[Новомосковский , Троицкий ]",64,83.26,110.0,0.0,98.16,2387463277
«КРАУН УПРАВЛЕНИЕ И ЭКСПЛУАТАЦИЯ»,Центральный ,2,83.25,108.0,50.0,99.87,2387463278
«ЛАКИСТРОЙТЕХНО»,Центральный ,13,83.23,108.51,50.0,99.31,2387463279
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «СОЦБЫТ»,Западный ,6,83.2,108.0,50.0,99.74,2387463280
«ПРОФНОВАЦИИ»,"[Центральный , Южный ]",29,83.14,109.0,50.0,98.52,2387463281
«ОФИС-ДК»,"[Северный , Центральный , Юго-Восточный ]",13,83.12,108.0,50.0,99.54,2387463282
«УЛЬТРА-М»,"[Восточный , Северо-Западный , Новомосковский , Троицкий ]",47,83.11,107.61,50.0,99.93,2387463283
«УК НОЯБРЬ»,Восточный ,2,83.0,107.63,50.0,99.85,2387463284
«АРБАТ-СЕРВИС»,Центральный ,8,83.0,110.0,13.0,97.52,2387463285
«ЖИЛСТРОЙСЕРВИС»,Центральный ,18,83.0,109.2,50.0,98.0,2387463286
«ЖИЛИЩНИК 365»,"[Восточный , Северо-Восточный ]",16,82.98,107.36,82.0,99.67,2387463287
«ВОСХОД»,Восточный ,4,82.97,107.33,91.0,99.63,2387463288
«УК ЭТАЛОН ЭКСПРЕСС»,"[Северо-Восточный , Центральный ]",4,82.97,108.0,50.0,99.17,2387463289
«ДЕЛОВОЙ МИР»,"[Новомосковский , Троицкий ]",1,82.92,110.0,0.0,97.3,2387463290
«ЖИЛИЩНИК»,Южный ,26,82.86,108.24,50.0,98.67,2387463291
«ДОМОУПРАВЛЕНИЕ»,Восточный ,10,82.85,107.16,64.0,99.65,2387463292
«НЕГА»,Юго-Западный ,5,82.83,107.0,50.0,99.83,2387463294
ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ПО ЭКСПЛУАТАЦИИ ВЫСОТНЫХ АДМИНИСТРАТИВНЫХ И ЖИЛЫХ ДОМОВ,"[Восточный , Западный , Северный , Северо-Восточный , Северо-Западный , Центральный , Южный , Юго-Западный ]",282,82.76,107.0,50.0,99.65,2387463295
«РЕЛЕНА 2000»,Центральный ,13,82.65,109.16,98.0,96.96,2387463296
«ВОСТОК»,Восточный ,1,82.58,110.0,92.0,95.98,2387463297
«УПРАВЛЯЮЩАЯ КОМПАНИЯ РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ № 53»,Северный ,12,82.55,107.6,50.0,98.53,2387463298
«РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ ПРЕДПРИЯТИЕ -10»,Юго-Западный ,11,82.55,107.59,64.0,98.46,2387463299
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «АЛЬКОР»,"[Новомосковский , Троицкий , Юго-Восточный ]",5,82.5,106.0,50.0,100.0,2387463300
«ТЕХНИКО ЭКСПЛУАТАЦИОННАЯ КОМПАНИЯ»,"[Западный , Центральный , Южный , Юго-Западный ]",16,82.49,106.0,50.0,99.98,2387463301
«ЖИЛИЩНИК ТАГАНСКОГО РАЙОНА»,Центральный ,362,82.48,107.76,49.0,98.21,2387463302
«СПЛАВ Т»,"[Северо-Западный , Южный , Юго-Западный ]",5,82.48,106.0,50.0,99.95,2387463303
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «БАБУШКИНСКИЙ»,Северо-Восточный ,18,82.48,106.9,50.0,99.0,2387463304
«ЖИЛИЩНО-КОММУНАЛЬНЫЙ СЕРВИС»,"[Восточный , Юго-Восточный ]",6,82.48,106.0,50.0,99.94,2387463305
«ЭКСПЛУАТИРУЮЩАЯ КОМПАНИЯ «ГОРОДСКИЕ УСАДЬБЫ»,"[Восточный , Центральный ]",2,82.47,108.0,41.0,97.98,2387463306
«ЯРЬ»,Северо-Восточный ,1,82.46,108.0,0.0,98.14,2387463307
«АЛЬФАСИТИ»,"[Центральный , Юго-Восточный ]",4,82.43,106.0,40.0,99.88,2387463308
МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ «ЖИЛИЩНИК МОСРЕНТГЕН»,"[Новомосковский , Троицкий ]",10,82.42,106.0,11.0,100.0,2387463309
«СОВРЕМЕННЫЕ КОММУНАЛЬНЫЕ СИСТЕМЫ»,Северо-Западный ,1,82.4,106.0,50.0,99.76,2387463310
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ИЗУМРУДНЫЙ ГОРОД»,"[Восточный , Юго-Восточный ]",8,82.39,107.35,50.0,98.37,2387463311
«МКС ЮГО-ЗАПАД»,Юго-Западный ,1,82.38,106.0,50.0,99.69,2387463312
«АРБАТ-СЕРВИС« УПРАВЛЕНИЕ НЕДВИЖИМОСТЬЮ»,Восточный ,3,82.38,110.0,33.0,95.78,2387463314
«ЖИЛИЩНИК РАЙОНА СОКОЛ»,Северный ,200,82.37,107.32,100.0,98.1,2387463315
«УПРАВЛЯЮЩАЯ КОМПАНИЯ ПОБЕДА»,Юго-Восточный ,1,82.34,106.0,50.0,99.61,2387463316
«РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ 29 РАЙОНА ВОСТОЧНОЕ ИЗМАЙЛОВО»,Восточный ,42,82.33,106.31,50.0,99.26,2387463317
ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «РЕМОНТНО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ №20 РАЙОНА «СОКОЛИНАЯ ГОРА»,Восточный ,92,82.31,106.29,50.0,99.23,2387463318
«ЖИЛИЩНИК РАЙОНА ДОРОГОМИЛОВО»,Западный ,129,82.3,107.87,50.0,97.62,2387463319
УПРАВЛЯЮЩАЯ ОРГАНИЗАЦИЯ «БАЛТИЕЦ»,Северный ,4,82.3,108.0,50.0,97.5,2387463320
«КВАРТАЛ 51-52»,Восточный ,1,82.29,108.0,0.0,97.72,2387463321
«УПРАВЛЯЮЩАЯ КОМПАНИЯ «МУЛЬТИСТОРИ»,"[Новомосковский , Троицкий ]",1,82.27,106.0,0.0,99.68,2387463322
«УПРАВЛЯЮЩАЯ КОМПАНИЯ АВТОСТРОЙ ЖКХ»,"[Новомосковский , Троицкий ]",14,82.26,106.0,50.0,99.39,2387463323
